vintage,year_built_bucket,size_bucket,wohnlage,rent_low,rent_mid,rent_high,source
2019,1919_1949,40_to_60,einfach,5.42,6.4,8.19,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1950_1964,40_to_60,einfach,5.38,6.0,8.0,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1965_1972,40_to_60,einfach,5.05,5.88,7.01,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1973_1990_west,40_to_60,einfach,6.2,7.46,8.65,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1973_1990_ost,40_to_60,einfach,5.72,6.01,6.55,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1991_2002,40_to_60,einfach,7.71,8.36,10.2,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,2003_2017,40_to_60,einfach,9.7,11.61,15.11,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,pre_1918,40_to_60,mittel,5.41,7.43,10.25,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1919_1949,40_to_60,mittel,5.63,6.74,7.76,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
2019,1950_1964,40_to_60,mittel,5.39,6.11,7.64,Berliner Mietspiegeltabelle 2019; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2018; mit SH/Bad/IWC
