ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
201812;08010303;08;01;03;03;1;3373;1800;1573;12;20;18;27;16;21;15;32;29;24;20;28;80;183;135;320;593;474;303;257;204;159;87;42;39;69;67;59;34;6;0;0;12;81;141;28;263;2286;288;234;40
201812;08010404;08;01;04;04;1;8166;4380;3786;54;46;47;88;42;44;52;82;61;75;30;116;172;467;430;788;1350;983;785;590;496;381;161;117;106;138;217;133;78;24;6;7;54;223;344;116;639;5422;659;594;115
201812;08010405;08;01;04;05;1;2792;1456;1336;16;14;18;30;16;13;12;24;37;23;15;52;56;162;152;257;510;411;223;231;144;122;55;39;25;25;49;31;12;9;6;3;16;78;124;52;218;1928;216;130;30
201812;08010406;08;01;04;06;1;2792;1502;1290;33;37;34;82;39;37;28;51;51;44;31;50;78;158;123;255;380;346;269;180;129;110;69;33;30;30;40;21;21;3;0;0;33;192;242;50;236;1682;212;121;24
201812;08010407;08;01;04;07;1;236;127;109;0;0;0;0;0;0;0;0;3;0;0;3;6;15;15;30;54;34;10;20;16;6;0;3;0;3;0;15;0;3;0;0;0;0;3;3;21;179;9;18;3
201812;08010508;08;01;05;08;1;2002;1038;964;13;17;19;38;11;6;15;29;28;28;9;22;65;134;91;155;263;186;173;177;176;120;44;25;13;42;38;44;15;3;3;0;13;85;115;22;199;1221;189;137;21
201812;08010509;08;01;05;09;1;2793;1460;1333;12;19;12;31;22;29;29;44;31;34;12;40;86;127;94;167;342;309;311;284;270;146;54;30;37;47;56;64;42;9;0;3;12;84;179;40;213;1777;230;204;54
201812;08010510;08;01;05;10;1;260;162;98;3;6;0;9;0;0;3;3;11;0;4;9;12;17;16;13;36;40;15;18;21;15;6;0;0;0;0;3;0;0;0;0;3;15;21;9;29;159;21;3;0
201812;08020619;08;02;06;19;2;4027;2257;1770;46;52;40;96;43;49;49;98;69;91;38;96;157;296;199;325;455;412;346;307;267;153;81;22;34;41;63;63;15;16;4;4;46;231;394;96;453;2311;256;201;39
201812;08020620;08;02;06;20;2;2033;1061;972;15;10;9;24;6;15;3;24;26;12;0;46;59;111;94;148;259;236;213;191;156;117;58;36;18;33;42;40;24;8;0;0;15;49;80;46;170;1297;211;133;32
