"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"E_A";"E_AM";"E_AW";"E_A00_01";"E_A01_02";"E_A02_03";"E_A03_05";"E_A05_06";"E_A06_07";"E_A07_08";"E_A08_10";"E_A10_12";"E_A12_14";"E_A14_15";"E_A15_18";"E_A18_21";"E_A21_25";"E_A25_27";"E_A27_30";"E_A30_35";"E_A35_40";"E_A40_45";"E_A45_50";"E_A50_55";"E_A55_60";"E_A60_63";"E_A63_65";"E_A65_67";"E_A67_70";"E_A70_75";"E_A75_80";"E_A80_85";"E_A85_90";"E_A90_95";"E_A95_110";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110"
"202512";"02300417";"02";"30";"04";"17";2885;1465;1420;4;9;13;18;12;10;10;34;22;16;9;33;59;107;113;241;341;409;319;245;229;179;93;37;33;44;69;73;52;34;12;6;4;52;101;33;166;1897;309;219;104
"202512";"02300418";"02";"30";"04";"18";2347;1262;1085;0;6;4;15;9;10;7;3;9;3;9;13;39;88;83;211;371;352;265;198;181;140;83;31;22;30;49;44;45;24;0;3;0;34;41;13;127;1661;254;145;72
"202512";"02300419";"02";"30";"04";"19";3495;1906;1589;0;0;6;22;7;3;4;12;9;16;6;20;60;173;131;249;537;503;420;286;231;207;117;57;43;62;72;110;76;32;18;6;0;35;50;20;233;2357;381;287;132
"202512";"02400520";"02";"40";"05";"20";1476;713;763;6;12;12;33;14;6;21;38;16;25;18;19;40;66;61;116;242;217;147;100;71;67;33;17;9;23;33;3;8;0;3;0;6;71;124;19;106;954;117;68;11
"202512";"02400521";"02";"40";"05";"21";2482;1271;1211;9;27;3;53;26;20;17;28;40;19;13;32;53;125;100;211;482;450;288;160;113;81;44;15;15;19;23;6;3;0;7;0;9;109;137;32;178;1804;140;63;10
"202512";"02400522";"02";"40";"05";"22";2688;1320;1368;21;9;12;47;4;18;22;32;26;27;12;30;67;123;105;273;576;459;299;185;101;94;41;25;10;25;23;12;10;0;0;0;21;72;137;30;190;1998;160;70;10
"202512";"02400623";"02";"40";"06";"23";5096;2554;2542;15;25;22;84;38;49;29;49;64;50;12;63;132;528;312;540;987;641;439;244;180;178;84;51;64;81;56;36;24;16;3;0;15;169;253;63;660;3343;313;237;43
"202512";"02400624";"02";"40";"06";"24";3897;2153;1744;15;24;19;33;16;16;16;26;32;15;9;53;290;545;275;443;640;513;334;214;112;103;44;24;15;28;25;12;3;3;0;0;15;92;114;53;835;2531;171;80;6
"202512";"02400625";"02";"40";"06";"25";704;393;311;3;6;6;12;3;3;6;13;15;9;6;11;9;24;23;72;185;136;70;41;11;21;7;0;6;6;0;0;0;0;0;0;3;27;52;11;33;538;28;12;0
"202512";"02500726";"02";"50";"07";"26";2670;1451;1219;17;21;6;29;12;7;10;22;6;12;10;32;57;149;136;303;609;477;296;168;88;74;36;30;4;24;10;12;10;3;0;0;17;68;67;32;206;2077;140;50;13
"202512";"02500727";"02";"50";"07";"27";1705;874;831;6;3;15;22;18;7;6;18;16;7;7;19;38;95;64;149;372;318;197;99;78;56;15;18;9;19;21;7;3;0;3;0;6;58;61;19;133;1277;89;56;6
"202512";"02500728";"02";"50";"07";"28";2616;1390;1226;6;10;12;24;0;6;9;25;28;15;6;25;52;142;100;280;578;500;312;180;123;78;39;24;6;12;18;3;3;0;0;0;6;46;89;25;194;2073;141;39;3
"202512";"02500729";"02";"50";"07";"29";1351;718;633;7;4;8;13;6;4;9;3;12;9;7;3;46;83;84;137;242;249;165;101;49;31;16;12;18;9;6;12;3;0;0;3;7;31;44;3;129;1027;59;45;6
"202512";"02500830";"02";"50";"08";"30";1217;643;574;3;12;13;12;10;10;9;9;9;6;3;12;22;78;53;129;266;209;136;68;56;34;23;3;3;9;17;3;0;0;0;0;3;47;46;12;100;917;60;32;0
"202512";"02500831";"02";"50";"08";"31";2381;1236;1145;0;12;18;19;20;0;9;22;15;25;9;28;55;143;131;195;506;427;316;143;91;75;36;16;24;16;12;9;0;0;9;0;0;69;80;28;198;1809;127;61;9
"202512";"02500832";"02";"50";"08";"32";3326;1782;1544;25;19;23;58;23;32;16;43;31;40;15;27;54;176;151;331;741;646;379;177;126;60;40;16;30;19;10;18;0;0;0;0;25;123;177;27;230;2551;116;77;0
"202512";"02500833";"02";"50";"08";"33";3170;1632;1538;0;6;10;21;3;10;13;25;19;23;3;18;36;163;180;364;764;650;355;189;118;80;30;27;12;12;30;3;0;6;0;0;0;40;93;18;199;2620;137;57;6
"202512";"02500834";"02";"50";"08";"34";2977;1575;1402;7;12;3;13;6;0;7;13;21;9;0;22;61;181;170;401;700;531;348;182;118;57;34;9;22;15;16;6;9;4;0;0;7;34;50;22;242;2450;100;59;13
"202512";"02500835";"02";"50";"08";"35";3213;1747;1466;10;10;31;40;15;12;25;37;35;25;18;34;125;322;207;351;619;533;299;186;104;73;25;6;25;9;18;10;3;6;0;0;10;96;152;34;447;2299;104;62;9
"202512";"02500836";"02";"50";"08";"36";724;342;382;6;14;9;12;12;10;6;7;6;15;3;14;16;10;35;38;130;140;98;48;15;18;14;9;3;12;6;9;9;0;0;0;6;47;47;14;26;504;41;30;9
"202512";"03100101";"03";"10";"01";"01";658;416;242;3;11;7;15;6;3;3;6;8;3;6;18;14;26;31;51;98;95;83;64;40;28;6;12;6;3;6;3;3;0;0;0;3;39;29;18;40;462;46;18;3
"202512";"03100102";"03";"10";"01";"02";1029;573;456;12;6;15;15;16;19;12;9;16;16;9;29;68;101;48;96;158;108;79;75;41;28;12;11;3;6;6;6;9;0;0;0;12;52;81;29;169;605;51;21;9
"202512";"03100103";"03";"10";"01";"03";2209;1186;1023;19;33;34;63;17;43;27;55;61;46;27;87;120;190;111;155;256;225;193;138;114;60;33;27;29;10;18;12;3;3;0;0;19;147;259;87;310;1192;120;69;6
"202512";"03200204";"03";"20";"02";"04";92;58;34;0;0;0;0;0;0;3;0;0;4;0;4;0;0;9;3;15;6;9;9;15;3;0;0;0;0;9;3;0;0;0;0;0;0;7;4;0;66;3;12;0
"202512";"03200205";"03";"20";"02";"05";1423;666;757;17;12;22;35;9;12;13;35;36;25;14;43;127;128;76;109;155;146;108;96;62;35;12;21;12;10;26;12;9;0;3;3;17;78;135;43;255;752;68;60;15
"202512";"03200206";"03";"20";"02";"06";1246;584;662;4;9;12;16;11;13;18;25;19;18;9;13;103;150;72;75;187;138;95;78;62;49;34;9;6;3;9;3;0;3;3;0;4;48;102;13;253;707;92;21;6
"202512";"03200207";"03";"20";"02";"07";1849;969;880;13;16;15;40;27;16;21;50;33;38;9;41;43;124;75;149;274;247;217;120;94;77;36;32;18;6;9;6;3;0;0;0;13;98;167;41;167;1176;145;39;3
"202512";"03200308";"03";"20";"03";"08";448;210;238;0;6;13;9;3;13;3;3;6;9;0;6;3;18;9;21;57;76;58;46;24;25;11;3;6;7;10;3;0;0;0;0;0;31;34;6;21;291;39;26;0
"202512";"03200309";"03";"20";"03";"09";664;342;322;6;3;7;16;12;6;9;13;29;6;9;19;27;53;22;30;91;85;64;30;39;22;12;18;3;12;6;3;3;3;3;3;6;38;72;19;80;361;52;24;9
"202512";"03200310";"03";"20";"03";"10";795;383;412;7;0;6;24;13;11;14;28;19;9;3;29;31;38;22;47;78;105;102;73;42;34;6;9;12;6;10;9;8;0;0;0;7;43;84;29;69;469;49;37;8
"202512";"03300411";"03";"30";"04";"11";2034;1024;1010;36;18;33;70;52;37;39;88;90;69;30;103;70;94;68;125;200;185;172;134;108;100;28;12;19;10;15;16;10;3;0;0;36;173;353;103;164;992;140;60;13
"202512";"03300412";"03";"30";"04";"12";347;174;173;3;3;4;9;0;3;3;0;6;6;0;0;7;31;15;43;35;41;37;30;20;15;6;9;6;6;3;6;0;0;0;0;3;16;18;0;38;221;30;21;0
"202512";"03300413";"03";"30";"04";"13";148;75;73;0;5;0;0;4;0;0;0;3;3;3;3;6;0;6;9;15;18;22;15;14;7;6;0;0;0;6;3;0;0;0;0;0;9;9;3;6;99;13;9;0
"202512";"03300514";"03";"30";"05";"14";433;203;230;6;3;6;13;12;6;10;7;11;13;6;21;23;15;14;25;54;43;56;16;18;21;9;9;4;3;0;6;3;0;0;0;6;34;53;21;38;226;39;13;3
"202512";"03300515";"03";"30";"05";"15";6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0
"202512";"03300516";"03";"30";"05";"16";2584;1412;1172;31;37;47;79;36;38;37;62;53;62;21;66;119;205;132;225;393;336;185;139;95;62;29;19;12;15;24;12;3;7;3;0;31;199;273;66;324;1505;110;63;13
"202512";"03300517";"03";"30";"05";"17";30;21;9;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;6;0;9;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;21;3;0;0
"202512";"03400618";"03";"40";"06";"18";442;237;205;0;0;0;9;3;0;9;4;6;12;9;10;9;20;10;28;59;48;65;28;40;23;12;9;3;4;3;6;10;3;0;0;0;12;40;10;29;278;44;16;13
"202512";"03400619";"03";"40";"06";"19";1391;689;702;15;13;9;18;9;12;12;27;18;16;11;30;39;112;74;101;193;201;124;105;85;48;31;6;16;10;19;12;12;6;7;0;15;49;96;30;151;883;85;57;25
"202512";"03400620";"03";"40";"06";"20";496;236;260;4;13;3;3;0;0;6;0;0;3;6;9;15;33;24;43;43;64;46;43;27;25;15;6;0;25;28;6;6;0;0;0;4;19;15;9;48;290;46;59;6
"202512";"03400721";"03";"40";"07";"21";1745;871;874;3;16;12;24;19;15;20;22;21;15;3;14;54;85;46;142;283;304;212;144;106;70;41;13;6;9;27;6;10;3;0;0;3;71;96;14;139;1237;124;48;13
"202512";"03400722";"03";"40";"07";"22";555;263;292;3;0;6;0;6;0;6;6;10;7;3;3;26;44;35;53;75;91;74;27;32;11;9;3;9;3;3;0;3;4;3;0;3;12;32;3;70;387;23;15;10
"202512";"03400723";"03";"40";"07";"23";1287;630;657;6;15;9;34;17;10;10;22;24;22;3;25;15;76;61;108;238;198;126;91;58;47;22;6;6;9;17;9;0;0;3;0;6;75;91;25;91;880;75;41;3
"202512";"03400724";"03";"40";"07";"24";1105;504;601;8;3;0;24;12;11;18;19;16;25;6;39;32;34;50;105;184;151;130;78;46;34;18;19;10;9;3;12;9;0;0;0;8;39;95;39;66;744;71;34;9
"202512";"03400725";"03";"40";"07";"25";735;339;396;3;6;6;22;3;3;10;21;16;20;3;14;24;24;33;44;91;101;101;66;51;23;7;3;6;12;9;7;3;3;0;0;3;37;73;14;48;487;33;34;6
